"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 05 19:06:35 CEST 2021","Sun Sep 05 19:06:35 CEST 2021","109","","Soderberg and partners technical test: As a user, I can use the textbox formulary","","Soderberg and partners technical test: As a user, I can use the textbox formulary","Then I check the values returned are correct","Then I check the values returned are correct",""
"passed","Sun Sep 05 19:06:35 CEST 2021","Sun Sep 05 19:06:35 CEST 2021","0","","Soderberg and partners technical test: As a user, I can use the textbox formulary","","Soderberg and partners technical test: As a user, I can use the textbox formulary","","",""
"passed","Sun Sep 05 19:06:32 CEST 2021","Sun Sep 05 19:06:34 CEST 2021","2475","","Soderberg and partners technical test: As a user, I can use the textbox formulary","","Soderberg and partners technical test: As a user, I can use the textbox formulary","Given I am on the textbox page","Given I am on the textbox page",""
"passed","Sun Sep 05 19:06:34 CEST 2021","Sun Sep 05 19:06:35 CEST 2021","504","","Soderberg and partners technical test: As a user, I can use the textbox formulary","","Soderberg and partners technical test: As a user, I can use the textbox formulary","When I submit textbox formulary","When I submit textbox formulary",""
